발전량(KW),누적발전량(KWh),일사량(W/㎡),기온(℃)
0.00,0.00,0.0,16.3
0.00,0.00,0.0,16.3
0.00,0.00,0.0,16.4
0.00,0.00,0.0,16.3
0.00,0.00,0.0,16.2
0.00,0.00,0.0,16.3
0.00,0.00,0.0,16.3
0.00,0.00,1.1,16.4
0.39,0.39,12.9,16.0
1.10,1.49,28.3,15.7
1.82,3.31,61.2,16.0
4.15,7.46,100.3,16.5
4.73,12.19,120.8,16.8
4.25,16.44,102.0,17.7
4.81,21.25,131.4,18.5
4.07,25.32,108.5,17.5
1.89,27.21,43.1,16.6
1.10,28.31,29.9,16.4
0.32,28.63,8.7,16.3
0.00,28.63,0.0,16.2
0.00,28.63,0.0,16.1
0.00,28.63,0.0,16.2
0.00,28.63,0.0,16.2
0.00,28.63,0.0,16.3
